.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR3216862_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216863_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216864_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216865_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216866_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216867_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216868_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216869_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216870_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216871_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216872_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216873_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216874_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216875_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216876_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216877_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216878_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216879_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216880_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216881_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216882_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216883_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216884_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216885_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216886_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216887_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216888_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216889_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216890_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216891_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216892_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216893_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216894_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216895_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216896_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216897_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216898_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216899_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216900_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
