Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3216638_1	(1.0, 1.823226317875545)	(2.0, 1.21548421191703)	(3.0, 0.753071739992073)	(4.0, 0.8984013740256308)	(5.0, 1.0569427929713304)	(6.0, 0.6341656757827983)	(7.0, 0.4624124719249571)	(8.0, 0.6341656757827983)	(9.0, 0.5945303210463734)	('>10', 3.540758356453957)	('>50', 2.2724270048883604)	('>100', 0.0)	('>500', 0.0)	('>1k', 14.651869467565067)	('>5k', 71.46254458977408)	('>10k+', 0.0)
SRR3216639_1	(1.0, 1.5407365006678115)	(2.0, 1.240221331806907)	(3.0, 0.9301659988551804)	(4.0, 0.6296508299942759)	(5.0, 0.5962602556763976)	(6.0, 0.6868918145392101)	(7.0, 0.6678114863575654)	(8.0, 0.7250524709024996)	(9.0, 0.38637664567830565)	('>10', 3.758824651784011)	('>50', 0.9110856706735356)	('>100', 6.01984354130891)	('>500', 0.0)	('>1k', 50.4722381224957)	('>5k', 31.434840679259686)	('>10k+', 0.0)
SRR3216640_1	(1.0, 2.760706272558775)	(2.0, 1.8144571261340356)	(3.0, 1.4925373134328357)	(4.0, 0.9364940005853087)	(5.0, 1.0730660423373328)	(6.0, 0.6438396254023998)	(7.0, 0.6145741878841089)	(8.0, 0.39020583357721195)	(9.0, 0.7901668129938543)	('>10', 3.228953272851429)	('>50', 0.8584528338698664)	('>100', 7.5017071505218995)	('>500', 26.202321724709783)	('>1k', 51.69251780314116)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216641_1	(1.0, 3.179872805087797)	(2.0, 2.1279148834046637)	(3.0, 1.6439342426302948)	(4.0, 1.0879564817407303)	(5.0, 0.8599656013759449)	(6.0, 0.6959721611135555)	(7.0, 0.5599776008959642)	(8.0, 0.6079756809727611)	(9.0, 0.5759769609215631)	('>10', 6.379744810207592)	('>50', 3.9918403263869444)	('>100', 9.299628014879405)	('>500', 2.7558897644094236)	('>1k', 42.43830246790129)	('>5k', 23.795048198072077)	('>10k+', 0.0)
SRR3216642_1	(1.0, 3.577268195413759)	(2.0, 2.3529411764705883)	(3.0, 1.5553339980059822)	(4.0, 0.9890329012961117)	(5.0, 0.9172482552342971)	(6.0, 0.5982053838484547)	(7.0, 0.6979062811565304)	(8.0, 0.5742771684945165)	(9.0, 0.28713858424725824)	('>10', 8.837487537387837)	('>50', 5.547357926221336)	('>100', 14.321036889332003)	('>500', 3.3379860418743768)	('>1k', 29.970089730807576)	('>5k', 26.436689930209372)	('>10k+', 0.0)
SRR3216643_1	(1.0, 1.6202742002492732)	(2.0, 1.2740617642985737)	(3.0, 0.9970918155380142)	(4.0, 0.8863038360337904)	(5.0, 1.038637307852098)	(6.0, 0.8309098462816784)	(7.0, 1.4540922309929374)	(8.0, 0.3323639385126714)	(9.0, 0.3739094308267553)	('>10', 3.2959423902506577)	('>50', 0.0)	('>100', 2.3126990721506715)	('>500', 0.0)	('>1k', 85.58371416701289)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216644_1	(1.0, 1.35702746365105)	(2.0, 0.7015924301869375)	(3.0, 0.42926378952227096)	(4.0, 0.2954073390260789)	(5.0, 0.20770828525271176)	(6.0, 0.6092776367412878)	(7.0, 0.5492730210016155)	(8.0, 0.4061850911608585)	(9.0, 0.3323332564043388)	('>10', 5.645049619201477)	('>50', 2.3909531502423262)	('>100', 3.1663974151857834)	('>500', 0.0)	('>1k', 0.0)	('>5k', 83.90953150242326)	('>10k+', 0.0)
SRR3216645_1	(1.0, 1.1002498575373691)	(2.0, 0.867926182439837)	(3.0, 0.6838206285889624)	(4.0, 0.31560952088721345)	(5.0, 0.21917327839389825)	(6.0, 0.4471134879235524)	(7.0, 0.21478981282602025)	(8.0, 0.14027089817209487)	(9.0, 0.11835357033270504)	('>10', 5.830009205277693)	('>50', 0.0)	('>100', 3.3708850216981543)	('>500', 0.0)	('>1k', 15.635821680620698)	('>5k', 0.0)	('>10k+', 71.05597685530181)
SRR3216646_1	(1.0, 1.971236045459117)	(2.0, 1.7298602031580006)	(3.0, 1.1465352509303026)	(4.0, 1.0057326762546515)	(5.0, 0.7542995071909886)	(6.0, 0.8448154480539073)	(7.0, 1.1968218847430352)	(8.0, 0.4827516846022327)	(9.0, 0.4525797043145932)	('>10', 3.8016695162425824)	('>50', 1.4784270340943377)	('>100', 1.3577391129437795)	('>500', 17.298602031580007)	('>1k', 66.47892990043246)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216647_1	(1.0, 3.763643206624012)	(2.0, 2.5969138125705684)	(3.0, 1.4960481746330447)	(4.0, 1.3549115543846444)	(5.0, 0.9879563417388031)	(6.0, 1.5807301467820851)	(7.0, 0.9220925856228829)	(8.0, 0.6774557771923222)	(9.0, 0.6774557771923222)	('>10', 10.444109898381633)	('>50', 5.156191193074896)	('>100', 12.203613097478359)	('>500', 14.546480993601808)	('>1k', 43.59239744072262)	('>5k', 0.0)	('>10k+', 0.0)
