sample-id	age	ethnicity	isolate	sex	tissue
SRR3217010_1	31	Hispanic	Arm	male	Skin
SRR3217011_1	31	Hispanic	Arm	male	Skin
SRR3217012_1	34	Hispanic	Scalp	male	Skin
SRR3217013_1	34	Hispanic	Axilla	male	Skin
SRR3217014_1	34	Hispanic	Scalp	male	Skin
SRR3217015_1	34	Hispanic	Axilla	male	Skin
SRR3217016_1	34	Hispanic	Arm	male	Skin
SRR3217017_1	34	Hispanic	Arm	male	Skin
SRR3217018_1	29	Hispanic	Scalp	male	Skin
SRR3217019_1	29	Hispanic	Axilla	male	Skin
SRR3217020_1	29	Hispanic	Scalp	male	Skin
SRR3217021_1	29	Hispanic	Axilla	male	Skin
SRR3217022_1	29	Hispanic	Arm	male	Skin
SRR3217023_1	29	Hispanic	Arm	male	Skin
SRR3217024_1	37	Hispanic	Scalp	male	Skin
SRR3217025_1	37	Hispanic	Axilla	male	Skin
SRR3217026_1	37	Hispanic	Scalp	male	Skin
SRR3217027_1	37	Hispanic	Axilla	male	Skin
SRR3217028_1	37	Hispanic	Arm	male	Skin
SRR3217029_1	37	Hispanic	Arm	male	Skin
SRR3217030_1	37	Hispanic	Scalp	male	Skin
SRR3217031_1	37	Hispanic	Axilla	male	Skin
SRR3217032_1	37	Hispanic	Scalp	male	Skin
SRR3217033_1	37	Hispanic	Axilla	male	Skin
SRR3217034_1	37	Hispanic	Arm	male	Skin
SRR3217035_1	37	Hispanic	Arm	male	Skin
SRR3217036_1	36	Hispanic	Scalp	male	Skin
SRR3217037_1	36	Hispanic	Axilla	male	Skin
SRR3217038_1	36	Hispanic	Scalp	male	Skin
SRR3217039_1	36	Hispanic	Axilla	male	Skin
SRR3217040_1	36	Hispanic	Arm	male	Skin
SRR3217041_1	36	Hispanic	Arm	male	Skin
SRR3217042_1	30	Hispanic	Scalp	male	Skin
SRR3217043_1	30	Hispanic	Axilla	male	Skin
SRR3217044_1	30	Hispanic	Scalp	male	Skin
SRR3217045_1	30	Hispanic	Axilla	male	Skin
SRR3217046_1	30	Hispanic	Arm	male	Skin
SRR3217047_1	30	Hispanic	Arm	male	Skin
SRR3217048_1	23	Hispanic	Scalp	male	Skin
SRR3217049_1	23	Hispanic	Axilla	male	Skin
SRR3217050_1	23	Hispanic	Scalp	male	Skin
SRR3217051_1	23	Hispanic	Axilla	male	Skin
SRR3217052_1	23	Hispanic	Arm	male	Skin
SRR3217053_1	23	Hispanic	Arm	male	Skin
SRR3217054_1	29	Hispanic	Scalp	male	Skin
SRR3217055_1	29	Hispanic	Axilla	male	Skin
SRR3217056_1	29	Hispanic	Scalp	male	Skin
SRR3217057_1	29	Hispanic	Axilla	male	Skin
SRR3217058_1	29	Hispanic	Arm	male	Skin
SRR3217059_1	29	Hispanic	Arm	male	Skin
SRR3217060_1	30	Hispanic	Scalp	male	Skin
