Feature ID	Taxon	Consensus
01cf22777e5cc5e4ed5ffe5d72cbe34f	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales	0.6
01d95b67b97eba703e9c0b74c5326082	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.833
01e32fcff30b5d897131de77c66a9e15	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.6
01e7d8969c64cccb8bb0d4d84f839902	d__Bacteria; p__Bacillota	0.55
01e8c963eb656b0be5088f403fd1edef	Unassigned	1.0
01ed3af49cb595b05b02e800fb323a44	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.7
01edf0b6af383c67caaa45717655f334	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.833
01f1d49df79f7797193273ef1637425a	d__Bacteria; p__Actinomycetota	0.571
01fa21a01f25ee50cdc650d9c38eca4e	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales	0.85
01fa81d61103335c7fc1bfe994d824ac	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomataceae; g__Dyadobacter	0.692
01fe0c0bfaf0f2684866cb867d7cbc7c	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Incertae_Sedis; g__Incertae_Sedis	0.6
0201ba8694f7c6cc9c06876e9973ea15	d__Bacteria	1.0
021118afd25d9e99daacaaa4eec43bf8	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.65
02159b466ec4ac6064dd97d1acd83a52	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	1.0
0215fd778aa16a42faf11e0133448567	d__Bacteria	1.0
021ccb3418bc3d14dc6fa2dfa16a438a	d__Bacteria; p__Actinomycetota	0.55
021df8a2482826442b5481146c5819a5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Incertae_Sedis	0.571
0222d3a73fafa53c994878a023dc1efc	d__Bacteria; p__Actinomycetota	0.692
0223ef770c222d2c322d8391c7dfb5ee	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomataceae; g__Dyadobacter	0.769
0225d84b5a4e48be58ebf58fa68e83d5	d__Bacteria; p__Bacillota	0.55
02263c1d4a5eda9ba1b52941606b41a1	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.75
02278220477cde05cc2c856b368f797e	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales	1.0
022acb824f8beb220cbf1f70774dd5f5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Incertae_Sedis	1.0
022e93d84a4dae0fcd1db950bd4db0ef	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.818
0230b5c3bbe1495de60856343c8e8a51	d__Bacteria; p__Bacillota; c__Clostridia; o__Oscillospirales	0.6
02315a9106a47ad28256a8ed996ac59c	d__Bacteria	1.0
023b9f1ee52cf3a86f1f02e47cbe02a7	d__Bacteria; p__Bacillota	0.55
0241d20caa5ee61701e96e420f338846	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales	0.727
0247a2f9ee40127f29fd2a5a3c2dbbce	d__Bacteria; p__Bacillota	0.55
024ce1e1c5f642140505439dd7ea2e49	d__Bacteria; p__Bacillota; c__Negativicutes; o__Veillonellales-Selenomonadales	1.0
0251811282f6c1c085c419b05ef41ee1	d__Bacteria; p__Bacillota	1.0
0251c873b9e6e76973408b336adeb8b2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	1.0
0252fd0270dcf862f6326d00b2abb598	d__Bacteria; p__Actinomycetota; c__Actinobacteria	0.833
0254e1ee889dc9ace3cc805e292a5c4b	d__Bacteria; p__Actinomycetota; c__Actinobacteria	0.833
025a7be7996f18512b5a25926a1a12bb	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium	0.545
025b20e023d51eefcf7602a165aa33de	d__Bacteria; p__Bacillota; c__Clostridia	0.6
025f3ec3dafc2f35bc840c5669bccaff	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	0.75
0263299134ddf45c25f4406bef53e6f3	d__Bacteria; p__Bacillota; c__Bacilli	0.55
02647ee7a6c97f8b454aaf4dfef177a6	d__Bacteria	1.0
02664d02dc7e3c8067f428d009f54899	d__Bacteria; p__Actinomycetota	0.55
026a3cfe91a5be0080f45800d8f1a618	d__Bacteria; p__Bacillota; c__Clostridia	0.6
026b7b504ba56c959eaf3feb5d04d488	d__Bacteria; p__Actinomycetota; c__Actinobacteria	0.833
0277250d3c52f9a7f5e3922ad9090c1c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomataceae; g__Dyadobacter	0.714
02774762ec63598e482c00de70e7b40f	Unassigned	1.0
027998e8c48bb40984f7daf07632b9d8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales	0.545
027a6d11fbd33cf1e234d1e181e29a94	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	0.75
027f98e98aa42b0abb0fd782c2c6fdd5	d__Bacteria; p__Bacillota	0.55
02874a5cc8cf367c6f00ff772d43c070	Unassigned	1.0
028d6aa79d016a0213aeaebc0a8aa8f2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.9
029cd380dc538b91ae6ab63471c81a38	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.95
029f4a33ae55f8e68bc7c57d45bf5f3e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.95
02a22be21e16d133aca188da4a52754c	d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Chloroplast; f__Incertae_Sedis; g__Incertae_Sedis	1.0
02a373bca531ef4beae4b88692d95404	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	1.0
02a6940daa5ca66955d5b5ffe63ba4d0	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__Incertae_Sedis	1.0
02aa17f2789390d23ff4714870692aa6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Incertae_Sedis	0.667
02ae4c2fb4e0f94890cf7ff8a9374e27	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.95
02b02dc4b2ba7e643231dab55f3ab9ab	d__Bacteria; p__Bacillota; c__Clostridia	0.818
02b1cbd44859e2ef843793dec9655be4	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	1.0
02bab2db0a7782cf48dec72cbac4bb20	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfuromonadia; o__Desulfuromonadales	0.75
02bae557e73b843d721f84ed0831582a	d__Bacteria; p__Bacillota; c__Clostridia	0.6
02bd0f2ee996a45ab2258121c2593ac5	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales	0.55
02be00e1d3d67d384e412997d036595d	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadia; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Incertae_Sedis	0.727
02c335b99bf0fe846805342dc9ba42d3	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.55
02c9876370c972ddc82d0e5923ba47d8	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales	0.55
02d04364004f29bf996c462ef85c0c8e	d__Bacteria; p__Bacillota	0.55
02d322050e2190a3cd066e9e9b36f8c1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.95
02d3a3a79a00f403e2e9506e1a96e3a6	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	1.0
02d564e9642d9da87722caa4112b639c	d__Bacteria; p__Actinomycetota	0.55
02d598ca63516c6ed971dc9d500b8f62	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales	0.75
02d80e74e1c553d9f8ae364925c32b6c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae; g__Marivirga	0.667
